model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,file_name
BMW 328xi,3.0,6,Auto-S6,4WD,Gasoline,FA,small car,6.0,20.0,27.0,23.0,7,yes,08
BMW 328xi Sport Wagon,3.0,6,Man-6,4WD,Gasoline,CA,station wagon,7.0,19.0,28.0,22.0,6,yes,08
BMW 328xi Sport Wagon,3.0,6,Auto-S6,4WD,Gasoline,CA,station wagon,7.0,20.0,27.0,23.0,7,yes,08
BMW 328xi Sport Wagon,3.0,6,Man-6,4WD,Gasoline,FA,station wagon,6.0,19.0,28.0,22.0,6,no,08
BMW 328xi Sport Wagon,3.0,6,Auto-S6,4WD,Gasoline,FA,station wagon,6.0,20.0,27.0,23.0,7,yes,08
BMW 335ci,3.0,6,Man-6,2WD,Gasoline,FA,small car,6.0,19.0,28.0,22.0,6,no,08
BMW 335ci,3.0,6,Auto-S6,2WD,Gasoline,FA,small car,6.0,20.0,28.0,23.0,7,yes,08
BMW 335ci,3.0,6,Man-6,2WD,Gasoline,CA,small car,6.0,19.0,28.0,22.0,6,no,08
BMW 335ci,3.0,6,Auto-S6,2WD,Gasoline,CA,small car,6.0,20.0,28.0,23.0,7,yes,08
BMW 335ci Convertible,3.0,6,Man-6,2WD,Gasoline,FA,small car,6.0,19.0,28.0,22.0,6,no,08
BMW 335ci Convertible,3.0,6,Auto-S6,2WD,Gasoline,FA,small car,6.0,20.0,28.0,23.0,7,yes,08
BMW 335ci Convertible,3.0,6,Man-6,2WD,Gasoline,CA,small car,6.0,19.0,28.0,22.0,6,no,08
BMW 335ci Convertible,3.0,6,Auto-S6,2WD,Gasoline,CA,small car,6.0,20.0,28.0,23.0,7,yes,08
BMW 335cxi,3.0,6,Man-6,4WD,Gasoline,FA,small car,6.0,18.0,27.0,21.0,6,no,08
BMW 335cxi,3.0,6,Auto-S6,4WD,Gasoline,FA,small car,6.0,19.0,27.0,22.0,6,no,08
BMW 335cxi,3.0,6,Man-6,4WD,Gasoline,CA,small car,6.0,18.0,27.0,21.0,6,no,08
BMW 335cxi,3.0,6,Auto-S6,4WD,Gasoline,CA,small car,6.0,19.0,27.0,22.0,6,no,08
BMW 335i,3.0,6,Man-6,2WD,Gasoline,FA,small car,6.0,19.0,28.0,22.0,6,no,08
BMW 335i,3.0,6,Auto-S6,2WD,Gasoline,FA,small car,6.0,20.0,28.0,23.0,7,yes,08
BMW 335i,3.0,6,Man-6,2WD,Gasoline,CA,small car,6.0,19.0,28.0,22.0,6,no,08
BMW 335i,3.0,6,Auto-S6,2WD,Gasoline,CA,small car,6.0,20.0,28.0,23.0,7,yes,08
BMW 335xi,3.0,6,Man-6,4WD,Gasoline,FA,small car,6.0,18.0,27.0,21.0,6,no,08
